Book,Author,Genre,Rating
The Fault in Our Stars,John Green,Contemporary,2
Fangirl,Rainbow Rowell,Contemporary,3
Looking for Alaska,John Green,Contemporary,3
Paper Towns,John Green,Contemporary,3
A Court of Thons and Roses,Sarah J. Maas,Fantasy,4
The Cruel Prince,Holly Black,Fantasy,4
Twilight,Stephenie Meyer,Fantasy,4
The Selection,Kiera Cass,Dystopia,2
"Everything, Everything",Nicola Yoon,Contemporary,4
Turtles All the Way Down,John Green,Contemporary,2
Wonder,R.J. Palacio,Contemporary,5
Red Queen,Victoria Aveyard,Dystopia,4
City of Bones,Cassandra Clare,Fantasy,4
Divergent,Veronica Roth,Dystopia,2
They Both Die at the End,Adam Silvera,Contemporary,3
The Invisible Life of Addie LaRue,V. E. Schwab,Fantasy,3
Milk and Honey,Rupi Kaur,Poetry,3
The Sun and Her Flowers,Rupi Kaur,Poetry,3
The Princess Saves Herself in This One,Amanda Lovelace,Poetry,3
The Young Elites,Marie Lu,Fantasy,4
Clockwork Angel,Cassandra Clare,Fantasy,4
Yes No Maybe So,Becky Albertalli,Contemporary,3
You Say It First,Katie Cotugno,Contemporary,3
Bookish and the Beast,Ashley Poston,Contemporary,5
More Than Maybe,Erin Hahn,Contemporary,5
Verona Comics,Jennifer Dugan,Contemporary,4
All Your Twisted Secrets,Diana Urban,Mystery,5
"Hush, Hush",Becca Fitzpatrick,Fantasy,5
A Little Something Different,Sandy Hall,Contemporary,4
Tell Me Three Things,Julie Buxbaum,Contemporary,4
Shatter Me,Tahereh Mafi,Dystopia,4
Every Last Word,Tamara Stone,Contemporary,5
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Saenz,Contemporary,3
Punk 57,Penelope Douglas,Contemporary,5
"Corrupt (Devil's Night, #1)",Penelope Douglas,Contemporary,4
My Lovely Wife,Samantha Downing,Mystery,4
The Shadows Between Us,Tricia Levenseller,Fantasy,4
Underneath the Sycamore Tree,B. Celeste,Contemporary,4
We Were Liars,E. Lockhart,Mystery,3
To Kill a Kingdom,Alexandra Christo,Fantasy,4
The Unhoneymooners,Christina Lauren ,Contemporary,5
The Love Equation,Christina Lauren ,Contemporary,5
House of Salt and Sorrows,Erin Craig,Contemporary,5
A Thousand Boy Kisses,Tillie Cole,Contemporary,5
Beach Read,Emily Henry,Contemporary,4
The Hating Game,Sally Thorne,Contemporary,5
All the Bright Places,Jennifer Niven,Contemporary,3
From Lukov with Love,Mariana Zapata,Contemporary,5
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Contemporary,4
Air Awakens,Elise Kova,Fantasy,5
